granule_uid,obs_id,period,mass,star_spec_type,detection_type,semi_major_axis,radius
14 Her b,77,1763.3,9.1,K0 V,Radial Velocity,2.845,
14 Her c,309,52596.0,6.9,K0 V,Radial Velocity,27.4,
55 Cnc b,25,14.65314,0.84,K0IV-V,Radial Velocity,0.11339,
51 Eri b,2428,10260.0,2.6,F0IV,Imaging,11.1,1.11
51 Peg b,12,4.2308,0.47,G2 IV,Radial Velocity,0.052,1.9
55 Cnc e,243,0.7365478,0.02703,K0IV-V,Primary Transit,0.015439,0.1737
AU Mic b,7424,8.463,0.0368,M1V,Primary Transit,0.0645,0.3908
AU Mic c,7546,18.859019,0.0698,M1V,Primary Transit,0.1101,0.3131
BD+20 594 b,2546,41.6855,0.07,G,Primary Transit,0.241,0.23
CD Cet b,7415,2.2907,0.01244,M5.0,Radial Velocity,0.0185,
CI Tau b,3941,8.9891,11.6,K4IV,Radial Velocity,,
CoRoT-1 b,401,1.50896848,1.03,G0V,Primary Transit,0.0254,1.49
CoRoT-10 b,662,13.2406,2.75,K1V,Primary Transit,0.1055,0.97
CoRoT-11 b,645,2.994325,2.33,F6V,Primary Transit,0.04351,1.43
CoRoT-12 b,649,2.8280517,0.917,G2V,Primary Transit,0.04016,1.44
CoRoT-13 b,651,4.0350906,1.308,G0V,Primary Transit,0.051,0.885
CoRoT-14 b,652,1.51214,7.6,F9V,Primary Transit,0.027,1.09
CoRoT-16 b,702,5.35227,0.535,G5V,Primary Transit,0.0618,1.17
CoRoT-17 b,703,3.768125,2.43,G2V,Primary Transit,0.0461,1.02
CoRoT-18 b,704,1.90009057,3.47,G9V,Primary Transit,0.0295,1.31
CoRoT-19 b,705,3.8971372,1.11,F9V,Primary Transit,0.0518,1.29
CoRoT-2 b,415,1.7429964,3.31,G7V,Primary Transit,0.0281,1.465
CoRoT-20 b,826,9.2431839,4.24,G2V,Primary Transit,0.0902,0.84
CoRoT-22 b,847,9.75598,0.06,G0IV,Primary Transit,0.092,0.4354
CoRoT-23 b,862,3.6314,2.8,G0V,Primary Transit,0.0477,1.08
CoRoT-24 b,855,5.1134,0.018,K1V,Primary Transit,0.056,0.33
CoRoT-24 c,856,11.759,0.088,K1V,Primary Transit,0.098,0.44
CoRoT-25 b,1240,4.86069,0.27,G0V,Primary Transit,0.0578,1.08
CoRoT-26 b,1243,4.20474,0.52,G8IV,Primary Transit,0.0526,1.26
CoRoT-29 b,1210,2.85057,0.85,KOV,Primary Transit,0.039,0.9
CoRoT-30 b,1211,9.06005,2.9,G3V,Primary Transit,0.0844,1.009
CoRoT-31 b,1212,4.62941,0.84,G2IV,Primary Transit,0.0586,1.46
CoRoT-35 b,2644,3.22748,1.1,F3V,Primary Transit,0.0429,1.68
CoRoT-36 b,3931,5.616531,0.68,,Primary Transit,0.066,1.41
CoRoT-5 b,471,4.0379148,0.467,F9V,Primary Transit,0.04947,1.33
CoRoT-7 b,526,0.8535,0.041812,K0V,Primary Transit,0.0172,0.136
CoRoT-8 b,544,6.21229,0.2158,K1V,Primary Transit,0.063,0.5692
CoRoT-9 b,557,95.273804,0.84,G3V,Primary Transit,0.407,0.94
DS Tuc A b,7077,8.138268,0.0453,G6V,Primary Transit,0.0795,0.5085
EPIC 201295312 b,2557,5.65639,0.0379,,Primary Transit,,0.245
EPIC 205084841 b,6997,11.310099,0.3883,,Primary Transit,0.104,1.561
EPIC 211442297 b,6618,20.273034,0.84,G4,Primary Transit,0.1367,1.115
EPIC 211945201 b,6742,19.49221,0.085,G0,Primary Transit,0.1493,0.514
EPIC 212737443 b,7137,13.603,0.02907,K3,Primary Transit,0.098,0.231
EPIC 212737443 c,7138,65.55,0.0303,K3,Primary Transit,0.28,0.24
EPIC 246193072 b,7527,12.4551225,0.26,,Primary Transit,0.1016,0.774
EPIC 246851721 b,6791,6.180235,3.0,F5V,Primary Transit,0.07229,1.051
Exomoon Kepler-1708 b-i,8059,4.6,0.116,,Primary Transit,0.05,0.2329
Fomalhaut b,291,320000.0,0.208,A3 V,Imaging,117.0,
G 9-40 b,7229,5.7459982,0.013,M2.5 V,Primary Transit,0.0418,0.17
GJ 1132 b,2464,1.628931,0.00522,M3.5,Primary Transit,0.0154,0.1035
GJ 1214 b,619,1.580404497,0.02571,M,Primary Transit,0.01411,0.24463
